onset	duration	stim_file	trial_type	value
4.017	3.000	train/0318.mp4	train	0
8.017	3.000	train/0762.mp4	train	0
12.017	3.000	train/0485.mp4	train	0
16.017	3.000	train/0346.mp4	train	0
20.017	3.000	n/a	oddball	1
24.017	3.000	train/0996.mp4	train	0
28.017	3.000	train/0916.mp4	train	1
32.016	3.000	n/a	oddball	1
36.017	3.000	train/0210.mp4	train	0
40.016	3.000	train/0099.mp4	train	0
44.016	3.000	train/0819.mp4	train	0
48.016	3.000	n/a	oddball	1
52.016	3.000	train/0755.mp4	train	0
56.016	3.000	train/0160.mp4	train	0
60.016	3.000	train/0354.mp4	train	0
64.016	3.000	n/a	oddball	1
68.016	3.000	train/0828.mp4	train	0
72.016	3.000	train/0309.mp4	train	0
76.016	3.000	train/0801.mp4	train	0
80.016	3.000	n/a	oddball	1
84.016	3.000	train/0405.mp4	train	0
88.015	3.000	train/0529.mp4	train	0
92.014	3.000	train/0983.mp4	train	0
96.014	3.000	n/a	oddball	1
100.014	3.000	train/0944.mp4	train	0
104.014	3.000	train/0297.mp4	train	0
108.014	3.000	n/a	oddball	1
112.014	3.000	train/0518.mp4	train	0
116.013	3.000	train/0108.mp4	train	0
120.013	3.000	n/a	oddball	1
124.012	3.000	train/0826.mp4	train	0
128.012	3.000	train/0087.mp4	train	0
132.012	3.000	train/0468.mp4	train	0
136.012	3.000	n/a	oddball	1
140.011	3.000	train/0020.mp4	train	0
144.011	3.000	train/0711.mp4	train	0
148.011	3.000	n/a	oddball	1
152.011	3.000	train/0565.mp4	train	0
156.010	3.000	train/0974.mp4	train	0
160.010	3.000	train/0145.mp4	train	0
164.010	3.000	train/0589.mp4	train	0
168.009	3.000	n/a	oddball	1
172.009	3.000	train/0159.mp4	train	0
176.008	3.000	train/0955.mp4	train	0
180.008	3.000	n/a	oddball	0
184.008	3.000	train/0636.mp4	train	0
188.008	3.000	train/0467.mp4	train	0
192.007	3.000	train/0526.mp4	train	0
196.007	3.000	n/a	oddball	1
200.007	3.000	train/0808.mp4	train	0
204.007	3.000	train/0557.mp4	train	0
208.006	3.000	n/a	oddball	1
212.006	3.000	train/0922.mp4	train	0
216.006	3.000	train/0752.mp4	train	0
220.006	3.000	train/0647.mp4	train	0
224.032	3.000	train/0349.mp4	train	0
228.005	3.000	n/a	oddball	1
232.005	3.000	train/0521.mp4	train	0
236.004	3.000	train/0089.mp4	train	0
240.004	3.000	train/0377.mp4	train	0
244.004	3.000	train/0985.mp4	train	0
248.012	3.000	n/a	oddball	1
252.019	3.000	train/0229.mp4	train	0
256.012	3.000	train/0909.mp4	train	0
260.012	3.000	train/0938.mp4	train	0
264.012	3.000	train/0399.mp4	train	0
268.011	3.000	n/a	oddball	1
272.012	3.000	train/0167.mp4	train	0
276.012	3.000	train/0181.mp4	train	0
280.018	3.000	train/0984.mp4	train	0
284.012	3.000	n/a	oddball	1
288.011	3.000	train/0132.mp4	train	0
292.011	3.000	train/0719.mp4	train	0
296.011	3.000	n/a	oddball	0
300.011	3.000	train/0361.mp4	train	0
304.011	3.000	train/0887.mp4	train	0
308.020	3.000	train/0905.mp4	train	0
312.011	3.000	train/0449.mp4	train	0
316.011	3.000	n/a	oddball	1
320.011	3.000	train/0034.mp4	train	0
324.011	3.000	train/0720.mp4	train	0
328.011	3.000	train/0919.mp4	train	0
332.011	3.000	n/a	oddball	1
336.011	3.000	train/0754.mp4	train	0
340.011	3.000	train/0013.mp4	train	0
344.010	3.000	n/a	oddball	1
348.010	3.000	train/0845.mp4	train	0
352.010	3.000	train/0830.mp4	train	0
356.010	3.000	train/0892.mp4	train	0
360.010	3.000	train/0057.mp4	train	0
364.009	3.000	n/a	oddball	1
368.010	3.000	train/0965.mp4	train	0
372.010	3.000	train/0723.mp4	train	0
376.010	3.000	train/0888.mp4	train	0
380.010	3.000	n/a	oddball	1
384.010	3.000	train/0620.mp4	train	0
388.010	3.000	train/0071.mp4	train	0
392.010	3.000	train/0960.mp4	train	0
396.009	3.000	train/0666.mp4	train	0
400.009	3.000	n/a	oddball	1
